long,points,PTS,pa,PA,ab,AB,singles,1B,doubles,2B,triples,3B,home_runs,HR,walks,BB,strikeouts,K,sb,SB,cs,CS,runs,R,rbi,RBI,hbp,HBP,outs,O
1108 -- michael cuddyer -- NYM -- 1B/OF,1.81334,0.00000,1.00000,0.00000,0.92000,0.00000,0.15536,0.00000,0.05392,0.00000,0.00000,0.00000,0.04452,0.00000,0.07125,0.00000,0.24426,0.00000,0.01000,0.00000,0.00000,0.00000,0.10000,0.00000,0.12000,0.00000,0.00000,0.00000,0.44303,0.00000
5540 -- pedro ciriaco -- ATL -- 2B/3B,1.80924,0.00000,1.00000,0.00000,0.95000,0.00000,0.18693,0.00000,0.04801,0.00000,0.01913,0.00000,0.00969,0.00000,0.03925,0.00000,0.15894,0.00000,0.05000,0.00000,0.02000,0.00000,0.11000,0.00000,0.12000,0.00000,0.00500,0.00000,0.52171,0.00000
5854 -- chris johnson -- ATL -- 1B/3B,1.79860,0.00000,1.00000,0.00000,0.95000,0.00000,0.19677,0.00000,0.06721,0.00000,0.00000,0.00000,0.01937,0.00000,0.03925,0.00000,0.22439,0.00000,0.02000,0.00000,0.00000,0.00000,0.12000,0.00000,0.13000,0.00000,0.00000,0.00000,0.42964,0.00000
7705 -- scott van slyke -- LAD -- OF,1.76588,0.00000,1.00000,0.00000,0.89000,0.00000,0.12851,0.00000,0.05655,0.00000,0.00000,0.00000,0.03930,0.00000,0.08230,0.00000,0.24842,0.00000,0.01000,0.00000,0.01000,0.00000,0.12000,0.00000,0.13000,0.00000,0.00500,0.00000,0.43008,0.00000
9130 -- alex guerrero -- LAD -- 3B/OF,1.76229,0.00000,1.00000,0.00000,0.94000,0.00000,0.13840,0.00000,0.03770,0.00000,0.00781,0.00000,0.04912,0.00000,0.02743,0.00000,0.24842,0.00000,0.00000,0.00000,0.00000,0.00000,0.13000,0.00000,0.13000,0.00000,0.01500,0.00000,0.47204,0.00000
5782 -- chris coghlan -- CHC -- OF,1.73042,0.00000,1.00000,0.00000,0.88000,0.00000,0.14821,0.00000,0.05824,0.00000,0.01048,0.00000,0.01766,0.00000,0.09209,0.00000,0.18551,0.00000,0.02000,0.00000,0.01000,0.00000,0.11000,0.00000,0.12000,0.00000,0.00500,0.00000,0.47457,0.00000
1469 -- andre ethier -- LAD -- OF,1.70280,0.00000,1.00000,0.00000,0.89000,0.00000,0.16805,0.00000,0.03770,0.00000,0.00781,0.00000,0.02947,0.00000,0.09145,0.00000,0.17886,0.00000,0.00000,0.00000,0.00000,0.00000,0.11000,0.00000,0.12000,0.00000,0.00500,0.00000,0.48253,0.00000
5641 -- john mayberry jr. -- NYM -- OF,1.69955,0.00000,1.00000,0.00000,0.90000,0.00000,0.10053,0.00000,0.05392,0.00000,0.00000,0.00000,0.04452,0.00000,0.09161,0.00000,0.25488,0.00000,0.01000,0.00000,0.00000,0.00000,0.11000,0.00000,0.11000,0.00000,0.00500,0.00000,0.47394,0.00000
1178 -- rajai davis -- DET -- OF,1.69664,0.00000,1.00000,0.00000,0.92000,0.00000,0.17790,0.00000,0.04571,0.00000,0.00864,0.00000,0.00860,0.00000,0.05465,0.00000,0.15412,0.00000,0.06000,0.00000,0.02000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.50025,0.00000
3667 -- david ortiz -- BOS -- 1B,1.68596,0.00000,1.00000,0.00000,0.87000,0.00000,0.13351,0.00000,0.04634,0.00000,0.00000,0.00000,0.03721,0.00000,0.10080,0.00000,0.15344,0.00000,0.00000,0.00000,0.00000,0.00000,0.12000,0.00000,0.12000,0.00000,0.00000,0.00000,0.44893,0.00000
