long_id,points,PTS,innings,IP,singles,1B,doubles,2B,triples,3B,home_runs,HR,walks,BB,hbp,HBP,strikeouts,K,outs,O,earned_runs,ER,cg,CG,wins,W,hbp,HBP,nh,NH,cgso,CGSO
-2 -- TB bullpen -- TB -- ,8.33465,9.32600,2.08000,2.72133,1.16713,1.22000,0.36556,0.40500,0.04250,0.03900,0.27194,0.30000,0.66524,0.73100,0.00000,0.00000,3.04103,3.34000,3.19897,4.82400,0.66000,0.93000,0.00000,0.00000,0.10000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- PHI bullpen -- PHI -- ,8.21970,6.79090,2.92000,2.71933,1.99531,1.90700,0.57016,0.50300,0.09444,0.07600,0.16909,0.15600,1.12998,1.00400,0.00000,0.00000,2.73255,2.63600,6.02745,5.52200,1.02000,1.20600,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- NYM bullpen -- NYM -- ,8.08945,9.29775,2.72000,3.32967,1.52638,1.80300,0.46205,0.53200,0.04792,0.05000,0.23333,0.25100,1.06746,1.24400,0.00000,0.00000,2.69587,3.30500,5.46413,6.68400,1.03000,1.23800,0.00000,0.00000,0.16000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- STL bullpen -- STL -- ,7.88561,8.07910,2.70000,3.12467,1.93735,2.05400,0.58358,0.59100,0.07778,0.07800,0.18884,0.17500,1.03073,1.01100,0.00000,0.00000,2.73078,2.92200,5.36922,6.45200,0.96000,1.22500,0.00000,0.00000,0.14000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- LAD bullpen -- LAD -- ,7.88377,9.70745,2.38000,3.29300,1.33759,1.64300,0.47100,0.52900,0.04167,0.05500,0.25075,0.31100,0.68444,0.82500,0.00000,0.00000,2.58002,3.26100,4.55998,6.61800,0.80000,1.10300,0.00000,0.00000,0.16000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- DET bullpen -- DET -- ,7.66731,7.99930,2.44000,2.94467,1.55580,1.61300,0.51720,0.49300,0.07429,0.08600,0.23200,0.26200,0.95293,0.98300,0.00000,0.00000,2.69832,2.87300,4.62168,5.96100,0.89000,1.15500,0.00000,0.00000,0.14000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- MIL bullpen -- MIL -- ,7.61735,7.34575,2.66000,2.64167,1.44677,1.38100,0.47922,0.45600,0.05556,0.06000,0.26473,0.21200,1.29068,1.15100,0.00000,0.00000,2.71726,2.72800,5.26274,5.19700,1.08000,1.04900,0.00000,0.00000,0.12000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- CWS bullpen -- CWS -- ,7.60252,6.66505,2.18000,2.07967,1.37667,1.20100,0.36088,0.35100,0.05739,0.04700,0.19597,0.16500,1.03927,0.86300,0.00000,0.00000,2.76782,2.61600,3.77218,3.62300,0.71000,0.83500,0.00000,0.00000,0.10000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- NYY bullpen -- NYY -- ,7.50599,8.03890,2.31000,2.93800,1.33483,1.56000,0.43425,0.50300,0.06125,0.07500,0.18286,0.20800,0.93882,1.02000,0.00000,0.00000,2.49985,2.78100,4.43015,6.03300,0.76000,1.05700,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- PIT bullpen -- PIT -- ,7.46940,8.21655,2.67000,3.17233,1.78520,1.95800,0.54015,0.53100,0.05909,0.07500,0.19125,0.18500,0.77129,0.75300,0.00000,0.00000,2.30504,2.63300,5.70496,6.88400,0.89000,1.04300,0.00000,0.00000,0.16000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- TEX bullpen -- TEX -- ,7.37933,7.74310,2.60000,3.14333,1.66190,1.75200,0.54228,0.56500,0.03409,0.03600,0.36335,0.44300,0.92559,0.99300,0.00000,0.00000,2.69283,2.89500,5.10717,6.53500,1.13000,1.42300,0.00000,0.00000,0.13000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- SEA bullpen -- SEA -- ,7.26822,6.88910,2.67000,2.96867,1.66047,1.70700,0.53136,0.58300,0.00000,0.00000,0.30971,0.32200,1.07221,1.08200,0.00000,0.00000,2.59249,2.52400,5.41751,6.38200,1.15000,1.31100,0.00000,0.00000,0.13000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- TOR bullpen -- TOR -- ,7.25617,7.01800,2.67000,3.24400,2.03909,2.30000,0.56359,0.64300,0.10350,0.10800,0.15281,0.17500,0.66150,0.69900,0.00000,0.00000,2.25048,2.38000,5.75952,7.35200,0.91000,1.34300,0.00000,0.00000,0.17000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- MIN bullpen -- MIN -- ,7.22735,6.66045,2.55000,2.88900,1.96359,2.06300,0.58488,0.61100,0.09500,0.08800,0.26278,0.29300,0.70940,0.75800,0.00000,0.00000,2.51962,2.67100,5.13038,5.99600,0.97000,1.44700,0.00000,0.00000,0.14000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- OAK bullpen -- OAK -- ,7.05722,5.39865,2.97000,2.67433,1.87117,1.69400,0.58104,0.52700,0.03667,0.04200,0.27966,0.27900,0.94500,0.84900,0.00000,0.00000,2.21142,1.93600,6.69858,6.08700,1.23000,1.22800,0.00000,0.00000,0.16000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- HOU bullpen -- HOU -- ,6.92724,6.75470,2.46000,2.76200,1.46459,1.47900,0.42447,0.41700,0.07846,0.09500,0.24340,0.22800,0.77770,0.73400,0.00000,0.00000,2.23271,2.09000,5.14729,6.19600,0.92000,0.93400,0.00000,0.00000,0.14000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- CIN bullpen -- CIN -- ,6.83506,5.83710,2.69000,2.66733,1.84908,1.99500,0.38136,0.42300,0.09038,0.10000,0.10963,0.09900,0.93800,0.98700,0.00000,0.00000,1.98182,2.07200,6.08818,5.93000,0.90000,1.07300,0.00000,0.00000,0.16000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- CLE bullpen -- CLE -- ,6.82344,5.27855,2.87000,2.58033,1.82639,1.58600,0.54018,0.46100,0.06158,0.06700,0.23125,0.21500,1.14943,0.98300,0.00000,0.00000,2.14562,1.85600,6.46438,5.88500,1.16000,1.12600,0.00000,0.00000,0.17000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- COL bullpen -- COL -- ,6.75083,8.26695,2.76000,3.57367,2.14522,2.61600,0.43821,0.44100,0.06286,0.05200,0.26867,0.28300,1.02963,1.19100,0.00000,0.00000,2.35379,2.97000,5.92621,7.75100,1.20000,1.48200,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- BOS bullpen -- BOS -- ,6.62290,7.37290,2.45000,2.95133,1.54875,1.61500,0.53038,0.55000,0.07000,0.08200,0.29165,0.29900,0.95746,0.98000,0.00000,0.00000,2.39467,2.64300,4.95533,6.21100,1.06000,1.21900,0.00000,0.00000,0.12000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-2 -- ATL bullpen -- ATL -- ,4.99386,6.96525,1.97000,3.01033,1.49093,1.98000,0.40984,0.49400,0.06154,0.07000,0.23230,0.30500,0.71779,0.95100,0.00000,0.00000,1.72440,2.55800,4.18560,6.47300,0.83000,1.32200,0.00000,0.00000,0.13000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
